porosity,tortuosity
0.8344,1.021624818159013
0.8528,1.04696298893119
0.8552,1.0207491023823254
0.8412,1.0368055775168599
0.8492,1.0448073419863535
0.8736,1.0399612342178124
0.8364,1.0376973181420635
0.8484,1.050034472449208
0.856,1.0249668355108603
0.8664,1.014088896679357
0.8448,1.042618912455055
0.8668,1.050191694420209
0.8616,1.0282556041864932
0.836,1.05274912881268
0.8492,1.0378949846835177
0.8304,1.0538900297985403
0.8572,1.038503842926657
0.8592,1.0201052363424339
0.8664,1.0294883883986539
0.8648,1.0141717725421768
0.858,1.0324425404616544
0.8552,1.0171793643380547
0.8592,1.027932769068638
0.8496,1.0622165677360402
0.8504,1.0349308479613324
0.8484,1.0263261097951415
0.85,1.0236693464213196
0.8488,1.1027896427199397
0.8528,1.0355473700833004
0.8576,1.0433746353825881
0.842,1.025616175780649
0.8676,1.021254106990573
0.8432,1.0291598687423165
0.8468,1.056674650410724
0.8536,1.0152160084137056
0.8376,1.0664137730479943
0.8904,1.020724312534796
0.846,1.0320487837922436
0.844,1.0231924914567876
0.8804,1.0231862985351703
0.8584,1.029684977654645
0.8472,1.0105666725095177
0.8408,1.0404057014529824
0.83,1.0391434172313583
0.8288,1.065321248240655
0.8684,1.014529174700587
0.8524,1.0497136782828735
0.8584,1.0280294891831419
0.8488,1.0306268688741074
0.8548,1.0376882526550757
0.852,1.0316396365427842
0.8664,1.0139917318746718
0.8396,1.0401083909722968
0.8448,1.0534346438241078
0.854,1.0470077244218399
0.8552,1.0361615014770162
0.8576,1.0463491999180332
0.8504,1.0276446999708466
0.8456,1.0590172144858603
0.8364,1.0608740463254083
